,,,,,,,,,,,,,,,,,,,,,,
Asset ID,Asset Name,Category,Brand/Model,Serial / IMEI,Acquisition Date,Acquisition Method (Purchase / Owner Contribution),Original Currency (NGN / USD),Original Cost (Oscar),OM Cost,Proposed/Sold COST(#),Depreciated Value,Depreciated by,Date Added to Oscarmini,Month Count,,Useful Life (Months),Net Book Value (NGN),Status,Disposal Date,Disposal Proceeds,Notes,For Sale
OM-AS-0037,iPhone 17 Pro Max 512GB,Smartphones,,,,Apple store Canada,1640,"₦2,560,000.00","₦2,300,000.00","₦2,200,000.00","₦2,265,500.00","₦34,500.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0038,Redmi Note 15 8GB/256GB,Smartphones,,,,Abuja,,"₦299,900.00","₦299,900.00",,"₦295,401.50","₦4,498.50",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0039,Redmi Note 15 Pro 8GB/256GB,Smartphones,,,23rd Jan 2026,Abuja,,"₦399,800.00","₦399,800.00",,"₦393,803.00","₦5,997.00",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0040,Redmi Note 15 Pro Plus 8GB/256GB,Smartphones,,,3rd Feb 2026,Abuja,,"₦628,300.00","₦628,300.00",,"₦618,875.50","₦9,424.50",11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0041,Galaxy Tab S10,Smartphones,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0042,,Smartphones,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0043,,Smartphones,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0044,,,,,,,,,,,#N/A,#N/A,11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0045,PC Build,Desktops,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0046,Server Build,Desktops,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0047,M4 Mac Mini,Desktops,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0048,DJI Osmo Pocket 3,Cameras,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,6 - 24 months,,Active,,,,No
OM-AS-0049,Sony FX6,Cameras,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,No
OM-AS-0050,Sony A7IV,Cameras,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0051,Sony A7S III,Lenses,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0052,Sigma 24 - 70,Lenses,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0053,Sigma 24 - 70,Lenses,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0054,Tamron 28-75,Lenses,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0055,Tamron 14-28,Lenses,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0056,Apogee Symphony Sound Card,Audio Equipment,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0057,Stream Deck XL,Studio Accessories,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0058,Strea Deck,Studio Accessories,,,,,,,,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0059,,,,,,,,,,,#N/A,#N/A,11/1/2025,3,,,,Active,,,,
OM-AS-0060,,,,,,,,,,,#N/A,#N/A,11/1/2025,3,,,,Active,,,,
OM-AS-0061,Senheisser MKH416,Audio Equipment,,,,,1000,"₦1,600,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0062,Audix Boom Microphone,Audio Equipment,,,,,750,"₦1,050,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0063,Senheisser G2,Audio Equipment,,,,,750,"₦1,050,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0064,Senheisser G3,Audio Equipment,,,,,750,"₦1,050,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0065,Samson C1,Audio Equipment,,,,,100,"₦150,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
OM-AS-0066,RodeCaster Pro,Audio Equipment,,,,,750,"₦1,050,000.00",,,₦0.00,₦0.00,11/1/2025,3,,,,Active,,,,
